LIMIT_BAL,AGE,default,PAY_1_ontime,PAY_1_sensemov,PAY_1_revolving,PAY_1_mesos_retard,PAY_2_ontime,PAY_2_sensemov,PAY_2_revolving,PAY_2_mesos_retard,PAY_3_ontime,PAY_3_sensemov,PAY_3_revolving,PAY_3_mesos_retard,PAY_4_ontime,PAY_4_sensemov,PAY_4_revolving,PAY_4_mesos_retard,PAY_5_ontime,PAY_5_sensemov,PAY_5_revolving,PAY_5_mesos_retard,PAY_6_ontime,PAY_6_sensemov,PAY_6_revolving,PAY_6_mesos_retard,BILL_AMT_AGRUPAT,PAY_AMT_AGRUPAT,SEX_male,EDUCATION_postgrau,EDUCATION_secundaria,EDUCATION_universitari,MARRIAGE_casat,MARRIAGE_solter,MARRIAGE_nan
200000,34,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,5744.5,1078.6666666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0
260000,51,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,14728.166666666666,11051.333333333334,0.0,1.0,0.0,0.0,0.0,1.0,0.0
630000,41,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6834.5,3895.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
70000,30,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,56447.5,1783.3333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0
250000,29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,62265.166666666664,3000.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,23,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,32736.0,1033.3333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
20000,24,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,17693.5,1058.3333333333333,1.0,1.0,0.0,0.0,0.0,1.0,0.0
320000,49,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,161002.33333333334,60316.166666666664,1.0,1.0,0.0,0.0,1.0,0.0,0.0
360000,49,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
180000,29,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
130000,39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,20647.166666666668,7038.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0
120000,39,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,316.0,263.3333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0
70000,26,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,44245.833333333336,1835.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
450000,40,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4494.166666666667,3764.8333333333335,0.0,1.0,0.0,0.0,1.0,0.0,0.0
90000,23,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,5310.666666666667,2733.3333333333335,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,23,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,35715.833333333336,1315.1666666666667,1.0,0.0,1.0,0.0,0.0,1.0,0.0
60000,27,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,-65.66666666666667,416.6666666666667,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,30,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,18711.333333333332,1185.3333333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0
50000,47,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,6701.333333333333,6594.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
50000,26,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16180.333333333334,1100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
230000,27,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,18957.666666666668,16248.166666666666,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,33,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,25311.5,1155.6666666666667,1.0,0.0,0.0,1.0,0.0,1.0,0.0
100000,32,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,82539.5,3124.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
500000,54,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,20957.333333333332,26417.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
500000,58,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,9719.666666666666,7570.833333333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0
160000,30,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,4218.666666666667,380.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
280000,40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,178329.5,6987.166666666667,1.0,0.0,0.0,1.0,1.0,0.0,0.0
60000,22,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5379.833333333333,8891.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50000,25,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,130.0,130.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
280000,31,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,8607.166666666666,6226.166666666667,1.0,1.0,0.0,0.0,0.0,1.0,0.0
360000,33,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,275125.1666666667,40640.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
70000,25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,65476.0,3223.6666666666665,0.0,1.0,0.0,0.0,0.0,1.0,0.0
10000,22,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,3793.5,1204.5,1.0,0.0,0.0,1.0,0.0,1.0,0.0
140000,37,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,64189.0,3333.3333333333335,0.0,0.0,0.0,1.0,1.0,0.0,0.0
40000,30,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,24530.833333333332,2166.6666666666665,0.0,1.0,0.0,0.0,0.0,1.0,0.0
210000,29,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20000,22,1,0,0,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,13221.333333333334,3345.8333333333335,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150000,46,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1639.5,363.8333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.0
380000,32,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,19135.833333333332,15555.333333333334,1.0,0.0,0.0,1.0,0.0,1.0,0.0
20000,24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,19301.666666666668,1041.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
70000,42,1,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,38168.666666666664,1350.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
100000,43,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,44197.5,1601.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
310000,49,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,7354.166666666667,5111.333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0
180000,25,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,43191.833333333336,1707.6666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0
150000,29,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,29458.5,2144.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
500000,45,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1398.0,1080.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0
180000,34,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,9234.0,4863.166666666667,0.0,0.0,1.0,0.0,1.0,0.0,0.0
180000,34,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,158727.0,5677.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
200000,34,0,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,1124.5,316.6666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0
400000,29,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,380690.0,18171.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
500000,28,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,18283.166666666668,1469.3333333333333,0.0,0.0,1.0,0.0,1.0,0.0,0.0
70000,39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,40707.0,2020.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
50000,29,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,26279.0,1020.8333333333334,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,46,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,9647.333333333334,166.66666666666666,0.0,0.0,0.0,1.0,1.0,0.0,0.0
130000,51,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,408.6666666666667,392.1666666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0
200000,57,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,2,78272.66666666667,1587.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
10000,56,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,3808.6666666666665,501.6666666666667,1.0,0.0,0.0,1.0,1.0,0.0,0.0
210000,30,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1431.5,1533.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
130000,29,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,1316.8333333333333,6896.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0
20000,22,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,14721.0,616.6666666666666,1.0,0.0,0.0,0.0,0.0,1.0,0.0
80000,31,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,390.0,325.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
320000,29,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,60358.666666666664,2300.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200000,32,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,4404.166666666667,3252.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
290000,37,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,919.0,919.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
340000,32,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,23699.833333333332,23666.166666666668,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20000,24,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,16888.0,931.6666666666666,1.0,0.0,0.0,1.0,0.0,1.0,0.0
50000,25,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,24234.333333333332,1059.6666666666667,1.0,0.0,1.0,0.0,0.0,1.0,0.0
300000,45,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,291.0,291.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
30000,22,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,24864.333333333332,1401.8333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0
240000,44,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
470000,33,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,102470.5,3654.3333333333335,0.0,0.0,1.0,0.0,0.0,0.0,0.0
360000,26,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,49150.5,26892.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0
60000,30,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,23927.666666666668,890.8333333333334,1.0,0.0,1.0,0.0,0.0,1.0,0.0
400000,44,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,116825.33333333333,3792.1666666666665,0.0,0.0,0.0,1.0,1.0,0.0,0.0
50000,49,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,29583.166666666668,1008.6666666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0
160000,33,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,111168.83333333333,16957.833333333332,1.0,0.0,0.0,1.0,0.0,1.0,0.0
360000,45,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,585.0,390.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
160000,32,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,5270.5,1369.3333333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0
130000,35,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,37755.666666666664,9450.833333333334,0.0,1.0,0.0,0.0,1.0,0.0,0.0
20000,44,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,10218.166666666666,1025.1666666666667,1.0,0.0,1.0,0.0,0.0,1.0,0.0
200000,53,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,143694.5,5466.666666666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0
280000,39,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2560.0,661.3333333333334,0.0,1.0,0.0,0.0,0.0,1.0,0.0
100000,27,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,592.5,1259.1666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0
160000,37,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,693.6666666666666,1836.3333333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.0
60000,23,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,32973.166666666664,1043.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
90000,35,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,59119.333333333336,1959.3333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0
360000,43,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,9743.333333333334,20102.166666666668,1.0,1.0,0.0,0.0,1.0,0.0,0.0
150000,27,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,79901.83333333333,3973.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,22,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,13965.666666666666,630.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0
20000,38,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,15536.166666666666,947.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0
140000,32,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2279.8333333333335,2167.8333333333335,1.0,1.0,0.0,0.0,0.0,1.0,0.0
380000,30,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,22100.333333333332,7003.166666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0
480000,63,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,1,0,460169.1666666667,21828.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0
50000,22,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,34227.666666666664,1145.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
60000,26,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,1,0,57006.333333333336,2252.8333333333335,0.0,0.0,0.0,1.0,0.0,1.0,0.0
70000,24,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,5351.5,4754.833333333333,0.0,0.0,0.0,1.0,0.0,1.0,0.0
80000,36,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2977.5,2132.3333333333335,0.0,0.0,0.0,1.0,1.0,0.0,0.0
350000,52,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1831.1666666666667,2547.5,1.0,1.0,0.0,0.0,0.0,1.0,0.0
130000,38,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,113489.66666666667,47961.333333333336,1.0,0.0,0.0,1.0,0.0,1.0,0.0
360000,35,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,-103.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
330000,31,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,106596.66666666667,5457.833333333333,0.0,1.0,0.0,0.0,1.0,0.0,0.0
50000,47,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,15523.166666666666,1166.6666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.0
280000,41,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,142501.33333333334,6767.333333333333,1.0,0.0,0.0,1.0,1.0,0.0,0.0
100000,24,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,55864.333333333336,2977.6666666666665,0.0,1.0,0.0,0.0,0.0,1.0,0.0
50000,41,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,19851.666666666668,911.8333333333334,1.0,0.0,0.0,1.0,0.0,1.0,0.0
30000,24,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,2,19610.0,1052.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
240000,28,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1242.6666666666667,1276.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
80000,26,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,16503.666666666668,1283.3333333333333,1.0,0.0,0.0,1.0,0.0,1.0,0.0
400000,34,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,11971.333333333334,9648.5,1.0,0.0,0.0,1.0,1.0,0.0,0.0
240000,38,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,34950.5,1845.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0
50000,37,1,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,2,48374.166666666664,1705.8333333333333,1.0,0.0,1.0,0.0,0.0,1.0,0.0
450000,40,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
110000,48,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
310000,35,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,271089.6666666667,8995.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
20000,27,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,18683.333333333332,718.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
20000,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
200000,52,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,102947.5,3676.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
180000,36,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,111480.33333333333,2461.8333333333335,1.0,1.0,0.0,0.0,1.0,0.0,0.0
50000,51,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,5091.333333333333,1033.3333333333333,1.0,0.0,0.0,1.0,1.0,0.0,0.0
60000,55,0,0,0,0,3,0,0,0,2,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,0,44020.833333333336,1251.8333333333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30000,23,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,5462.666666666667,5314.333333333333,0.0,1.0,0.0,0.0,0.0,1.0,0.0
240000,41,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1879.8333333333333,1490.6666666666667,1.0,1.0,0.0,0.0,0.0,1.0,0.0
420000,34,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,224985.16666666666,8884.833333333334,1.0,0.0,0.0,1.0,1.0,0.0,0.0
330000,46,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,228219.5,8182.666666666667,1.0,0.0,1.0,0.0,1.0,0.0,0.0
30000,22,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,20580.333333333332,910.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
240000,34,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,2,12951.333333333334,771.1666666666666,1.0,0.0,0.0,1.0,1.0,0.0,0.0
